1,8409,0
2,7871451,98
3,983932,101
4,122992,102
5,36442,103
6,22949,104
7,10798,105
8,5914,106
9,3583,107
10,2869,108
11,1922,108
12,1350,109
13,1148,110
14,850,111
15,739,112
16,569,113
17,504,114
18,400,115
19,359,116
20,323,117
21,264,118
22,240,119
23,219,120
24,184,121
25,169,122
26,155,123
27,133,124
28,123,125
29,114,126
30,106,127
31,99,128
32,86,129
33,81,130
34,76,131
35,71,132
36,67,133
37,63,134
38,59,135
39,56,136
40,53,137
41,50,138
42,47,139
43,45,139
44,43,140
45,40,141
46,38,142
47,36,143
48,35,144
49,33,145
50,31,148
51,30,149
52,29,150
53,27,151
54,26,152
55,25,154
56,24,155
57,23,156
58,22,157
59,21,159
60,20,160
61,19,162
62,19,163
63,18,164
64,17,166
65,17,167
66,16,169
67,15,170
68,15,171
69,14,172
70,14,174
71,13,175
72,13,177
73,12,179
74,12,181
75,12,182
76,11,184
77,11,186
78,10,188
79,10,190
80,10,192
81,9,194
82,9,196
83,9,198
84,9,200
85,8,201
86,8,203
87,8,206
88,8,208
89,7,210
90,7,213
91,7,215
92,7,217
93,7,219
94,6,222
95,6,224
96,6,227
97,6,230
98,6,231
99,6,236
100,5,239
101,5,242
102,5,246
103,5,249
104,5,252
105,5,256
106,5,259
107,5,262
108,4,266
109,4,270
110,4,273
111,4,278
112,4,282
113,4,286
114,4,291
115,4,294
116,4,299
117,4,303
118,4,309
119,3,314
120,3,319
121,3,324
122,3,329
123,3,335
124,3,343
125,3,349
126,3,354
127,3,362
128,3,368
129,3,375
130,3,384
131,3,391
132,3,399
133,3,409
134,2,417
135,2,425
136,2,437
137,2,447
138,2,457
139,2,470
140,2,480
141,2,492
142,2,507
143,2,519
144,2,533
145,2,551
146,2,567
147,2,582
148,2,602
149,2,621
150,2,641
151,2,665
152,2,688
153,2,712
154,2,744
155,2,772
156,2,802
157,2,843
158,2,879
159,2,918
160,2,971
161,1,75211
162,1,1074
163,1,1146
164,1,1215
165,1,1292
166,1,1400
167,1,1503
168,1,1622
169,1,1795
170,1,1969
171,1,2179
172,1,2502
173,1,2852
174,1,3319
175,1,4130
176,1,5183
177,1,6957
178,1,11809
179,1,1000000
